"Category","Subcategory","Description","Amount","Recurrence","Payment Schedule","End Date"
"Tax","Canton Valais","Tax Installments","1000","Irregular","12.03;10.05;10.07;09.09;09.11","31/12/2025"
"Tax","Canton Valais","Tax Installments(Comparis)","22800","Irregular","12.03;10.05;10.07;09.09;09.11","31/12/2030"
"Tax","Crans Montana","Tax Installments","3500","Irregular","10.03;10.05;10.07;10.09;10.11","31/12/2025"
"Tax","Crans Montana","Tax Installments(Comparis)","16800","Irregular","10.03;10.05;10.07;10.09;10.11","31/12/2030"
"Tax","TV/Radio","Annual TV/Radio tax","365","Annual","1.05","31/12/2030"
"Mortgage","Repayment","Mortgage repayment","1865","Monthly","","31/12/2030"
"Mortgage","PAX","Annual PAX B","588","Monthly","20.03","31/12/2030"
"Mortgage","PAX","Annual PAX M","588","Monthly","20.03","31/12/2030"
"Cars","Lease","Tesla","500.35","Monthly","","31/12/2030"
"Cars","Lease","Jeep","451.2","Monthly","","31/12/2030"
"Insurance","Legal","AXA Legal Insurance","346.9","Annual","20.12","31/12/2030"
"Insurance","Home","AXA Household Insurance","1144.05","Annual","1.03","31/12/2030"
"Insurance","Cars","AXA Tesla","1752.8","Annual","1.03","31/12/2030"
"Insurance","Cars","Jeep","1215.3","Annual","1.07","31/12/2030"
"Education","Tuition","School Fees","33000","Irregular","01.01;10.05;11.05","31/12/2030"
"Utility bills","Electricity","Electricity (real 2023)","1937","Annual","1.01","31/12/2030"
"Utility bills","Communication","internet + Mobile","131.15","Monthly","","31/12/2030"
"Insurance","Health","CSS","854.85","Monthly","","31/12/2030"
"Tax","Cars","Road tax","485","Annual","1.01","31/12/2030"
"Tax","Cars","Vignette","80","Annual","1.01","31/12/2030"
"Tax","Canton Zurich","tax 2023","7688","One-off","1.08","31/12/2025"
"Tax","Stafa","tax 2022","7589.2","Irregular","31.01;28.02;31.03;30.04","31/12/2025"
"Tax","Stafa","tax 2023","4524.45","Irregular","31.05;30.06;31.07","31/12/2025"
"Cars","Maintenance","Tesla","50","Monthly","","31/12/2030"
"Cars","Maintenance","Jeep","700","Annual","1.03","31/12/2030"
"Cars","Tires","Tesla","44.63","Monthly","","31/12/2030"
"Cars","Tires","Jeep","34","Monthly","","31/12/2030"
"House","Investement","Driveway","22000","One-off","01.09","2030-12-30"
